format,name
legacy,Channel
legacy,Mana Vault
legacy,Crusade
legacy,Tempest Efreet
legacy,Channel
legacy,Bronze Tablet
legacy,Strip Mine
legacy,Necropotence
legacy,Pradesh Gypsies
legacy,Crusade
legacy,Vampiric Tutor
legacy,Pradesh Gypsies
legacy,Flash
legacy,Jihad
legacy,Shahrazad
legacy,Jeweled Bird
legacy,Strip Mine
legacy,Windfall
legacy,Skullclamp
legacy,Sol Ring
legacy,Treasure Cruise
legacy,Skullclamp
legacy,Sol Ring
legacy,Windfall
legacy,Fastbond
legacy,Mana Vault
legacy,Mox Emerald
legacy,Mox Jet
legacy,Mox Pearl
legacy,Ancestral Recall
legacy,Sensei's Divining Top
legacy,Jeweled Bird
legacy,Treasure Cruise
legacy,Windfall
legacy,Sol Ring
legacy,Advantageous Proclamation
legacy,Backup Plan
legacy,Brago's Favor
legacy,Double Stroke
legacy,Immediate Action
legacy,Iterative Analysis
legacy,Muzzio's Preparations
legacy,Power Play
legacy,Secret Summoning
legacy,Secrets of Paradise
legacy,Sentinel Dispatch
legacy,Unexpected Potential
legacy,Worldknit
legacy,Gush
legacy,Necropotence
legacy,Skullclamp
legacy,"Oko, Thief of Crowns"
legacy,Mystical Tutor
legacy,Oath of Druids
legacy,Strip Mine
legacy,Mind Twist
legacy,Wheel of Fortune
legacy,Channel
legacy,Fastbond
legacy,Mana Vault
legacy,Sol Ring
legacy,Balance
legacy,Hermit Druid
legacy,Sol Ring
legacy,Yawgmoth's Will
legacy,Mind's Desire
legacy,Demonic Tutor
legacy,Survival of the Fittest
legacy,Necropotence
legacy,Amulet of Quoz
legacy,Lurrus of the Dream-Den
legacy,Necropotence
legacy,Mana Drain
legacy,Imperial Seal
legacy,Vampiric Tutor
legacy,Demonic Tutor
legacy,Gush
legacy,Dig Through Time
legacy,Crusade
legacy,Contract from Below
legacy,Darkpact
legacy,Demonic Attorney
legacy,Demonic Tutor
legacy,Black Lotus
legacy,Chaos Orb
legacy,Ancestral Recall
legacy,Mana Vault
legacy,Mox Emerald
legacy,Mox Jet
legacy,Mox Pearl
legacy,Mox Ruby
legacy,Mox Sapphire
legacy,Sol Ring
legacy,Cleanse
legacy,Invoke Prejudice
legacy,Mana Drain
legacy,Tempest Efreet
legacy,Wheel of Fortune
legacy,Channel
legacy,Fastbond
legacy,Balance
legacy,Crusade
legacy,Contract from Below
legacy,Darkpact
legacy,Demonic Attorney
legacy,Demonic Tutor
legacy,Mind Twist
legacy,Balance
legacy,Mind Twist
legacy,Pradesh Gypsies
legacy,Rebirth
legacy,Strip Mine
legacy,Mind Twist
legacy,Pradesh Gypsies
legacy,Rebirth
legacy,Crusade
legacy,Mana Vault
legacy,Flash
legacy,Mystical Tutor
legacy,Bronze Tablet
legacy,Windfall
legacy,Sol Ring
legacy,Skullclamp
legacy,Sol Ring
legacy,Skullclamp
legacy,Sol Ring
legacy,Sol Ring
legacy,Frantic Search
legacy,Skullclamp
legacy,Sol Ring
legacy,Sol Ring
legacy,Balance
legacy,Crusade
legacy,Time Walk
legacy,Timetwister
legacy,Mox Ruby
legacy,Mox Sapphire
legacy,Sol Ring
legacy,Time Vault
legacy,Time Walk
legacy,Timetwister
legacy,Sol Ring
legacy,Skullclamp
legacy,Sol Ring
legacy,Skullclamp
legacy,Sol Ring
legacy,Mana Drain
legacy,Vampiric Tutor
legacy,Sol Ring
legacy,Adriana's Valor
legacy,Assemble the Rank and Vile
legacy,Echoing Boon
legacy,Emissary's Ploy
legacy,Hired Heist
legacy,Hold the Perimeter
legacy,Hymn of the Wilds
legacy,Incendiary Dissent
legacy,Natural Unity
legacy,Sovereign's Realm
legacy,Summoner's Bond
legacy,Weight Advantage
legacy,Demonic Tutor
legacy,Mind's Desire
legacy,Balance
legacy,Necropotence
legacy,Survival of the Fittest
legacy,Contract from Below
legacy,Darkpact
legacy,Demonic Attorney
legacy,Demonic Tutor
legacy,Vampiric Tutor
legacy,Oath of Druids
legacy,Timmerian Fiends
legacy,Lurrus of the Dream-Den
legacy,"Zirda, the Dawnwaker"
legacy,Windfall
legacy,Channel
legacy,Treasure Cruise
legacy,Ancestral Recall
legacy,Mind Twist
legacy,Wheel of Fortune
legacy,Channel
legacy,Fastbond
legacy,Mana Vault
legacy,Mox Emerald
legacy,Mox Jet
legacy,Mox Pearl
legacy,Mox Ruby
legacy,Mox Sapphire
legacy,Sol Ring
legacy,Time Vault
legacy,Crusade
legacy,Time Vault
legacy,Falling Star
legacy,Pradesh Gypsies
legacy,Rebirth
legacy,Mana Crypt
legacy,Mind Twist
legacy,Fastbond
legacy,Mana Vault
legacy,Sol Ring
legacy,Time Vault
legacy,Mind Twist
legacy,Gitaxian Probe
legacy,Mental Misstep
legacy,"Oko, Thief of Crowns"
legacy,"Oko, Thief of Crowns"
legacy,Lurrus of the Dream-Den
legacy,Lurrus of the Dream-Den
legacy,"Zirda, the Dawnwaker"
legacy,"Zirda, the Dawnwaker"
legacy,Iterative Analysis
legacy,Wrenn and Six
legacy,Arcum's Astrolabe
legacy,Skullclamp
legacy,Mystical Tutor
legacy,Mind's Desire
legacy,Demonic Tutor
legacy,Yawgmoth's Will
legacy,Sol Ring
legacy,Mana Crypt
legacy,Balance
legacy,Balance
legacy,Strip Mine
legacy,Imperial Seal
legacy,Mana Vault
legacy,Demonic Tutor
legacy,Sol Ring
legacy,Strip Mine
legacy,Deathrite Shaman
legacy,Mind's Desire
legacy,Mystical Tutor
legacy,Crusade
legacy,Gush
legacy,Demonic Tutor
legacy,Mana Crypt
legacy,Demonic Consultation
legacy,Imperial Seal
legacy,Bazaar of Baghdad
legacy,Demonic Tutor
legacy,Wheel of Fortune
legacy,Channel
legacy,Library of Alexandria
legacy,Mishra's Workshop
legacy,Strip Mine
legacy,Wrenn and Six
legacy,Arcum's Astrolabe
legacy,Gush
legacy,Black Lotus
legacy,Timetwister
legacy,Ancestral Recall
legacy,Mox Pearl
legacy,Mox Jet
legacy,Mox Ruby
legacy,Mox Emerald
legacy,Mox Sapphire
legacy,Time Walk
legacy,Mana Crypt
legacy,Dig Through Time
legacy,Dig Through Time
legacy,Vampiric Tutor
legacy,Wheel of Fortune
legacy,Survival of the Fittest
legacy,Mana Crypt
legacy,Time Walk
legacy,Timetwister
legacy,Mind Twist
legacy,Black Lotus
legacy,Mana Drain
legacy,Library of Alexandria
legacy,Mana Vault
legacy,Mishra's Workshop
legacy,Mox Ruby
legacy,Ancestral Recall
legacy,Mind Twist
legacy,Vampiric Tutor
legacy,"Oko, Thief of Crowns"
legacy,Strip Mine
legacy,Balance
legacy,Balance
legacy,Balance
legacy,Underworld Breach
legacy,Underworld Breach
legacy,Pradesh Gypsies
legacy,Rebirth
legacy,Strip Mine
legacy,Balance
legacy,Contract from Below
legacy,Darkpact
legacy,Demonic Attorney
legacy,Mana Vault
legacy,Skullclamp
legacy,Earthcraft
legacy,Hermit Druid
legacy,Mana Drain
legacy,Windfall
legacy,Sol Ring
legacy,Balance
legacy,Time Walk
legacy,Timetwister
legacy,Balance
legacy,Time Walk
legacy,Timetwister
legacy,Contract from Below
legacy,Darkpact
legacy,Demonic Attorney
legacy,Demonic Tutor
legacy,Mind Twist
legacy,Wheel of Fortune
legacy,Channel
legacy,Fastbond
legacy,Black Lotus
legacy,Chaos Orb
legacy,Imprison
legacy,Frantic Search
legacy,Tinker
legacy,Treasure Cruise
legacy,Skullclamp
legacy,Sol Ring
legacy,Crusade
legacy,Necropotence
legacy,Cleanse
legacy,Mana Drain
legacy,Balance
legacy,Flash
legacy,Mystical Tutor
legacy,Mana Crypt
legacy,Mana Vault
legacy,Sol Ring
legacy,Timetwister
legacy,Ancestral Recall
legacy,Mox Pearl
legacy,Mox Emerald
legacy,Mox Jet
legacy,Mox Sapphire
legacy,Mox Ruby
legacy,Black Lotus
legacy,Ancestral Recall
legacy,Timetwister
legacy,Time Walk
legacy,Mox Pearl
legacy,Mox Sapphire
legacy,Mox Jet
legacy,Sol Ring
legacy,Crusade
legacy,Hermit Druid
legacy,Oath of Druids
legacy,Gitaxian Probe
legacy,Mox Pearl
legacy,Mox Jet
legacy,Mox Emerald
legacy,Mox Sapphire
legacy,Gush
legacy,Windfall
legacy,Mystical Tutor
legacy,Crusade
legacy,Necropotence
legacy,Strip Mine
legacy,Balance
legacy,Strip Mine
legacy,Balance
legacy,Dreadhorde Arcanist
legacy,Dreadhorde Arcanist
legacy,Tempest Efreet
legacy,Bronze Tablet
legacy,Bronze Tablet
legacy,Jeweled Bird
legacy,Dig Through Time
legacy,Hermit Druid
legacy,Mind Twist
legacy,Underworld Breach
legacy,Yawgmoth's Bargain
legacy,Dig Through Time
legacy,Frantic Search
legacy,Demonic Tutor
legacy,Wheel of Fortune
legacy,Channel
legacy,Fastbond
legacy,Dreadhorde Arcanist
legacy,Yawgmoth's Will
legacy,Gush
legacy,Frantic Search
legacy,Memory Jar
legacy,Treasure Cruise
legacy,Mana Vault
legacy,Windfall
legacy,Balance
legacy,Channel
legacy,Mystical Tutor
legacy,Necropotence
legacy,Sensei's Divining Top
legacy,Skullclamp
legacy,Strip Mine
legacy,Tinker
legacy,Memory Jar
legacy,Balance
legacy,Necropotence
legacy,Vampiric Tutor
legacy,Yawgmoth's Bargain
legacy,Yawgmoth's Will
legacy,Mana Crypt
legacy,Mana Vault
legacy,Memory Jar
legacy,Skullclamp
legacy,Sol Ring
legacy,Time Vault
legacy,Bazaar of Baghdad
legacy,Tinker
legacy,Mystical Tutor
legacy,Vampiric Tutor
legacy,Yawgmoth's Will
legacy,Sol Ring
legacy,Strip Mine
legacy,Demonic Tutor
legacy,Wheel of Fortune
legacy,Channel
legacy,Fastbond
legacy,Sol Ring
legacy,Underworld Breach
legacy,Oath of Druids
legacy,Survival of the Fittest
legacy,Tinker
legacy,Demonic Tutor
legacy,Yawgmoth's Will
legacy,Tolarian Academy
legacy,Sol Ring
legacy,Mind's Desire
legacy,Vampiric Tutor
legacy,Goblin Recruiter
legacy,Ancestral Recall
legacy,Time Walk
legacy,Timetwister
legacy,Black Lotus
legacy,Mox Emerald
legacy,Mox Jet
legacy,Mox Pearl
legacy,Mox Ruby
legacy,Mox Sapphire
legacy,Frantic Search
legacy,Gush
legacy,Mana Drain
legacy,Mind's Desire
legacy,Hermit Druid
legacy,Oath of Druids
legacy,Survival of the Fittest
legacy,Library of Alexandria
legacy,Mishra's Workshop
legacy,Strip Mine
legacy,Tolarian Academy
legacy,Yawgmoth's Bargain
legacy,Frantic Search
legacy,Survival of the Fittest
