school,street
Paradise Senior High,5911 Maxwell Dr
Calaveras High,350 High School Street
Far East County Programs,850 Second Street
Clayton Valley Charter High,1101 Alberta Way
Acalanes High,1200 Pleasant Hill Road
Campolindo High,300 Moraga Road
Las Lomas High,1460 South Main Street
Carmen Dragon Elementary,4721 Vista Grande Drive
Bidwell Continuation High,800 Gary Avenue
Prospects High (Alternative),820 West Second Street
Deer Valley High,4700 Lone Tree Way
Antioch High,700 West 18th Street
Sutter Elementary,3410 Longview Road
Turner Elementary,4207 Delta Fair Boulevard
Heritage High,101 American Avenue
Freedom High,1050 Neroly Road
Independence High,929 Second Street
Liberty High,850 Second Street
La Paloma High (Continuation),400 Ghiggeri Way
Alhambra Senior High,150 E Street
Northgate High,425 Castle Rock Road
College Park High,201 Viking Drive
Concord High,4200 Concord Boulevard
Mt. Diablo High,2455 Grant Street
Olympic Continuation High,2730 Salvio Street
Ygnacio Valley High,755 Oak Grove Road
Black Diamond High (Continuation),1131 Stoneman Avenue
Pittsburg Senior High,1750 Harbor Street
Vista High (Alternative),2625 Barnard Road
De Anza High,5000 Valley View Road
Greenwood Academy,831 Chanslor Avenue
Pinole Valley High,2900 Pinole Valley Road
Richmond High,1250 23rd Street
Dougherty Valley High,10550 Albion Road
California High,9870 Broadmoor Drive
Monte Vista High,3131 Stone Valley Road
San Ramon Valley High,501 Danville Boulevard
Walt Disney Elementary,3250 Pine Valley Road
Golden View Elementary,5025 Canyon Crest Drive
Coyote Creek Elementary,8700 North Gale Ridge Road
Castle Rock,1260 Glenn Street
Del Norte High,1301 El Dorado Street
Special Education,6767 Green Valley Road
Oak Ridge High,1120 Harvard Way
Union Mine High,6530 Koki Lane
El Dorado High,561 Canal Street
Ponderosa High,3661 Ponderosa Road
Tahoe Valley Elementary,943 Tahoe Island Drive
Crescent View West Charter,"1901 East Shields Avenue, Suite 130"
Fresno County Special Education Local Plan,1111 Van Ness Avenue
Clovis North High,2770 East International Avenue
Clovis West High,1070 East Teague Avenue
Buchanan High,1560 North Minnewawa Avenue
Clovis East High,2940 Leonard Avenue
Gateway High (Continuation),1550 Herndon Avenue
Clovis High,1055 Fowler Avenue
Coalinga High,750 Van Ness Avenue
Sierra Charter,1931 North Fine Avenue
Bullard High,5445 North Palm Avenue
J. E. Young Academic Center,822 North Abby Street
Cambridge Continuation High,1001 South Chestnut
School of Unlimited Learning,2336 Calaveras Street
Sunnyside High,1019 South Peach Avenue
Carter G. Woodson Public Charter,3333 North Bond Avenue
Dewolf Continuation High,2445 W Dakota
Edison High,540 East California Avenue
Fresno High,1839 Echo Avenue
Herbert Hoover High,5550 North First Street
McLane High,2727 North Cedar Avenue
Roosevelt High,4250 East Tulare Street
Washington Elementary,1501 Ellis Street
Kingsburg High,1900 18th Avenue
Mountain View (Alternative),877 E. North Avenue
Reedley High,740 West North Avenue
Ambassador Phillip V. Sanchez Public Charter,"5659 East Kings Canyon Road, Suite 101"
Sanger High,1045 Bethel Avenue
Selma High,3125 Wright Street
Eric White Elementary,2001 Mitchell
West Park Charter Academy,2695 South Valentine Avenue
Crescent View South Charter,"1901 East Shields Avenue, Suite 169"
Central Unified Alternative/Opportunity,2698 North Brawley
Central High East Campus,3535 North Cornelia Avenue
Kerman High,205 South First Street
Mendota High,1200 Belmont Avenue
Elm High,5865 South Clara Avenue
W. E. B. DuBois Public Charter,2604 Martin Luther King Boulevard
Washington High,6041 South Elm Avenue
Mattole Valley Charter (#159),210 Lindley Road
Eureka Senior High,1915 J Street
Imperial County Special Education,1398 Sperber Road
Desert Valley High (Continuation),104 West Magnolia Street
Brawley High,480 North Imperial Avenue
Aurora High (Continuation),641 Rockwood Avenue
Calexico High,1030 Encinas Avenue
Southwest High,2001 Ocotillo Drive
Central Union High,1001 Brighton Avenue
Desert Oasis High (Continuation),1302 South Third Street
Imperial High,517 West Barioni Boulevard
YouthBuild Charter School of California,"155 West Washington Boulevard, Suite 517"
The Education Corps,2824 South Main Street
College Bridge Academy,2824 South Main Street
Kern County Juvenile Court,1300 17th Street
Kern County Community,1300 17th Street City Centre
Roy W. Loudon Elementary,4000 Loudon Street
Cesar E. Chavez High,800 Browning Road
Delano High,1331 Cecil Avenue
Raffaello Palla Elementary,800 Fairview Road
Golden Valley High,801 Hosking Avenue
Frontier High,6401 Allen Road
Independence High,8001 Old River Road
Mira Monte High,1800 South Fairfax Road
Tierra Del Sol Continuation High,3700 East Belle Terrace
Vista West Continuation High,7115 Rosedale Highway
Arvin High,900 Varsity Road
Stockdale High,2800 Buena Vista Road
Centennial High,8601 Hageman Road
Ridgeview High,8501 Stine Road
Kern Workforce 2000 Academy,5801 Sundale Avenue
Liberty High,925 Jewetta Avenue
Bakersfield High,1241 G Street
East Bakersfield High,2200 Quincy Street
Foothill High,501 Park Drive
Highland High,2900 Royal Scots Way
North High,300 Galaxy Avenue
Shafter High,526 Mannel Avenue
South High,1101 Planz Road
Vista Continuation High,200 P Street
West High,1200 New Stine Road
Insight School of California,50 Moreland Rd
California City High,8567 Raven Way
Del Rio Elementary,600 Hidalgo Drive
Rosamond High,2925 Rosamond Boulevard
Parkview Elementary,520 A Street
Taft Union High,701 Wildcat Way
Monroe High (Continuation),126 South Snyder Street
Tehachapi High,801 South Dennison Road
Palm Avenue Elementary,1017 Palm Avenue
Wasco High,1900 Seventh Street
Burroughs High,500 East French Street
Kings County Special Education,959 Katie Hammond Lane
"National University Academy, Armona",2030 University Drive
R. J. Neutra,Community Center Drive
Sierra Pacific High,1259 North 13th Avenue
Hanford West High,1150 West Lacey Boulevard
Earl F. Johnson High (Continuation),1201 North Douty
Hanford High,120 East Grangeville Boulevard
Lemoore High,101 East Bush Street
Avenal High,601 Mariposa Street
Lower Lake High,9430 A Lake Street
Alternative Opportunity Programs,12830 Columbia Way
Soledad Enrichment Action Charter High,222 North Virgil Avenue
Cerritos High,12500 East 183rd Street
Artesia High,12108 East Del Amo Boulevard
Tracy (Wilbur) High (Continuation),12222 Cuesta Drive
Gahr (Richard) High,11111 Artesia Boulevard
ABC Secondary (Alternative),16534 South Carmenita Road
William J. (Pete) Knight High,37423 70th Street East
Eastside High,3200 East Avenue J-8
Los Angeles County Online High,"2600 Foothill Boulevard, #301"
Antelope Valley High,44900 North Division Street
Desert Winds Continuation High,415 East Kettering Street
Palmdale High,2137 East Avenue R
Quartz Hill High,6040 West Avenue L
Highland High,39055 25th Street West
Littlerock High,10833 East Avenue R
Lancaster High,44701 32nd Street West
Desert Sands Charter,44130 20th Street West
R. Rex Parris High,38801 Clock Tower Plaza Drive
Arcadia High,180 Campus Drive
Azusa High,240 North Cerritos Avenue
,3699 North Holly Avenue
Opportunities For Learning - Baldwin Park II,320 North Halstead Street Suite 220
Baldwin Park High,3900 North Puente Avenue
Opportunities for Learning - Baldwin Park,320 North Halstead Street Suite 220
Bassett Senior High,755 Ardilla Avenue
Bellflower High,15301 South McNab Avenue
Mayfair High,6000 North Woodruff Avenue
Somerset Continuation High,9242 East Laurel Street
Beverly Hills High,241 Moreno Drive
Bonita High,3102 D Street
Burbank High,902 North Third Street
Burroughs High,1920 Clark Avenue
Options for Youth-Burbank Charter,1610 West Burbank Boulevard
Centinela Valley Independent Study,4859 West El Segundo Boulevard
Family First Charter,4953 Marine Avenue
New Opportunities Charter,110 South La Brea Avenue Suite 305A
R. K. Lloyde High,14901 Inglewood Avenue
Hawthorne High,4859 West El Segundo Boulevard
Lawndale High,14901 South Inglewood Avenue
Leuzinger High,4118 West Rosecrans Avenue
Charter Oak High,1430 East Covina Boulevard
Claremont High,1601 North Indian Hill Boulevard
South Hills High,645 South Barranca Street
Columbus Continuation,12330 Woodruff Avenue
Downey High,11040 Brookshire Avenue
Warren High,8141 De Palma Street
Alameda Elementary,8613 East Alameda Street
Opportunities for Learning - Duarte,1008 Huntington Drive
Orchard Dale Elementary,10625 South Cole Road
Arroyo High,4921 North Cedar Avenue
El Monte High,3048 North Tyler Avenue
Mountain View High,2900 Parkway Drive
Rosemead High,9063 East Mission Drive
Fernando R. Ledesma Continuation High,12347 Ramona Boulevard
Ruben Salazar Continuation,9115 Balfour Street
El Rancho High,6501 South Passons Boulevard
El Segundo High,640 Main Street
Crescenta Valley High,2900 Community Avenue
Daily (Allan F.) High (Continuation),220 North Kenwood
Glendale High,1440 East Broadway
Columbus Elementary,425 West Milford Street
College View,440 West Lomita Avenue
Glendora High,1600 East Foothill Boulevard
Gorman Learning Center,1826 Orange Tree Lane
Inglewood High,231 South Grevillea Avenue
Morningside High School,10500 South Yukon Avenue
La Canada High,4463 Oak Grove Drive
Agoura High,28545 West Driver Avenue
Calabasas High,22855 West Mulholland Highway
Moffett Elementary,11050 Larch Avenue
Jordan High,6500 Atlantic Avenue
Lakewood High,4400 Briercrest Avenue
Millikan High,2800 Snowden Avenue
Polytechnic High,1600 Atlantic Avenue
Reid High,2153 West Hill Street
Wilson High,4400 East Tenth Street
Educational Partnership High,1794 Cedar Avenue
Cabrillo High,2001 Santa Fe Avenue
Bobbie Smith Elementary,565 East Hill Street
Bell Senior High,4328 Bell Avenue
Richard A. Alonzo Community Day,5755 Fountain Avenue
Olympic Primary Center,950 South Albany Street
Martha Escutia Primary Center,6401 Bear Avenue
"Danny J. Bakewell, Sr., Primary Center",8621 South Baring Cross Street
Hooper Avenue Primary Center,1280 East 52nd Street
Pacific Boulevard,2660 East 57th Street
Santee Education Complex,1921 South Maple Avenue
South East High,2720 Tweedy Boulevard
Maywood Academy High,6125 Pine Avenue
Cal Burke High,14630 Lanark Street
Frida Kahlo High,1924 South Los Angeles Street
Frank del Olmo Elementary,100 North New Hampshire Avenue
East Valley Senior High,5525 Vineland Avenue
Arleta High,14200 Van Nuys Boulevard
Panorama High,8015 Van Nuys Boulevard
Bright Star Secondary Charter Academy,5431 West 98th Street
West Adams Preparatory High,1500 West Washington Boulevard
Edward R. Roybal Learning Center,1200 West Colton Street
Helen Bernstein High,1309 North Wilton Place
APEX Academy,"1309 North Wilton Place, 3rd Floor"
Los Angeles Teacher Preparatory Academy,1575 West Second Street
School for the Visual Arts and Humanities,701 South Catalina Street
Alain Leroy Locke College Preparatory Academy,325 East 111th Street
Sun Valley High,9171 Telfair Avenue
UCLA Community K-12,700 South Mariposa Avenue
Ramon C. Cortines School of Visual and Performing Arts,450 North Grand Avenue
Dorothy V. Johnson Community Day,10601 South Grandee Avenue
Valley Academy of Arts and Sciences,10445 Balboa Boulevard
Dr. Maya Angelou Community High,300 East 53rd Street
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,6361 Cottage Street
Early College Academy-LA Trade Tech College,400 West Washington Boulevard
William Tell Aggeler Opportunity High,21050 Plummer Street
Harris Newmark Continuation,1575 West Second Street
Central High,716 East 14th Street
San Antonio Continuation,2911 Belgrave Avenue
Pueblo de Los Angeles Continuation,2506 Alta Street
Harold McAlister High (Opportunity),611 South Carondelet Street
Phineas Banning Senior High,1527 Lakme Avenue
Thomas Riley High,1524 East 103rd Street
Mt. Lukens Continuation,7705 Summitrose Street
Belmont Senior High,1575 West 2nd Street
John R. Wooden High,18741 Elkwood Street
Birmingham Community Charter High,17000 Haynes Street
Amelia Earhart Continuation,5355 Colfax Avenue
Robert H. Lewis Continuation,12508 Wicks Street
Jack London Continuation,12924 Oxnard Street
Metropolitan Continuation,727 South Wilson Street
Canoga Park Senior High,6850 Topanga Canyon Boulevard
Mission Continuation,11015 O'Melveny Avenue
Owensmouth Continuation,6921 Jordan Avenue
Carson Senior High,22328 South Main Street
Will Rogers Continuation,14711 Gilmore St
Stoney Point Continuation,10010 de Soto Avenue
Diane S. Leichman Special Education Center,19034 Gault Street
Frank Lanterman,2328 Saint James Place
Zane Grey Continuation,18230 Kittridge Street
Independence Continuation,6501 Balboa Boulevard
Chatsworth Charter High,10027 Lurline Avenue
Whitman Continuation,7795 Rosewood Avenue
Grover Cleveland Charter High,8140 Vanalden Avenue
Avalon High,1425 North Avalon Boulevard
Ellington (Duke) High (Continuation),1541 West 110th Street
Odyssey Continuation,8693 Dearborn Avenue
"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet",5010 11th Avenue
Henry David Thoreau Continuation,5429 Quakertown Avenue
Eagle Tree Continuation,22628 South Main Street
Jane Addams Continuation,16341 Donmetz Street
Evergreen Continuation,13101 Dronfield Avenue
Susan Miller Dorsey Senior High,3537 Farmdale Avenue
Eagle Rock High,1750 Yosemite Drive
El Camino Real Charter High,5440 Valley Circle Boulevard
Fairfax Senior High,7850 Melrose Avenue
John H. Francis Polytechnic,12431 Roscoe Boulevard
Benjamin Franklin Senior High,820 North Avenue 54
John C. Fremont Senior High,7676 South San Pedro Street
Gardena Senior High,1301 West 182nd Street
James A. Garfield Senior High,5101 East Sixth Street
Granada Hills Charter High,10535 Zelzah Avenue
Ulysses S. Grant Senior High,13000 Oxnard Street
Alexander Hamilton Senior High,2955 Robertson Boulevard
Hollywood Senior High,1521 North Highland Avenue
Huntington Park Senior High,6020 Miles Avenue
Thomas Jefferson Senior High,1319 East 41st Street
Abraham Lincoln Senior High,3501 North Broadway
Los Angeles Senior High,4650 West Olympic Boulevard
Manual Arts Senior High,4131 South Vermont Avenue
John Marshall Senior High,3939 Tracy Street
Joaquin Miller Career and Transition Center,8218 Vanalden Avenue
James Monroe High,9229 Haskell Avenue
Nathaniel Narbonne Senior High,24300 Western Avenue
North Hollywood Senior High,5231 Colfax Avenue
Reseda Senior High,18230 Kittridge Street
Theodore Roosevelt Senior High,456 South Mathews Street
San Fernando Senior High,11133 O'Melveny Avenue
San Pedro Senior High,1001 West 15th Street
South Gate Senior High,3351 Firestone Boulevard
Sylmar Charter High,13050 Borden Avenue
Taft Charter High,5461 Winnetka Avenue
University Senior High,11800 Texas Avenue
Van Nuys Senior High,6535 Cedros Avenue
Venice Senior High,13000 Venice Boulevard
Verdugo Hills Senior High,10625 Plainview Avenue
George Washington Preparatory High,10860 South Denker Avenue
WESM Health/Sports Medicine,7400 West Manchester Avenue
Joseph Pomeroy Widney High,2302 South Gramercy Place
Woodrow Wilson Senior High,4500 Multnomah Street
John F. Kennedy High,11254 Gothic Avenue
Los Angeles Unified Alternative Education,"333 South Beaudry Avenue, Floor 18"
Youth Opportunities Unlimited,915 West Manchester Avenue
Palisades Charter High,15777 Bowdoin Street
Tri-C Community Day,"716 East 14th Street, Second Floor"
City of Angels,221 South Eastman Avenue
Montague Charter Academy,13000 Montague Street
Valerio Street Elementary,15035 Valerio Street
Vaughn Next Century Learning Center,13330 Vaughn Street
West Athens Elementary,1110 West 119th Street
Robert Fulton College Preparatory,7477 Kester Avenue
Charles Leroy Lowman Special Education Center,12827 Saticoy Street
Benjamin Banneker Career and Transition Center,14024 South San Pedro Street
Ernest P. Willenberg Special Education Center,308 Weymouth Avenue
Alfonso B. Perez Special Education Center,4540 Michigan Avenue
Berenece Carlson Home Hospital,10952 Whipple Street
Marco Antonio Firebaugh High,5246 Martin Luther King Boulevard
Pathway Independent Study,11300 Wright Road
Vista High,11300 Wright Road
Lynwood High,4050 East Imperial Highway
Canyon Oaks High,930 Royal Oaks Drive
Monrovia High,845 West Colorado Boulevard
Schurr High,820 North Wilcox Avenue
Bell Gardens High,6119 Agra Street
Montebello High,2100 West Cleveland Avenue
Vail High (Continuation),1230 South Vail Avenue
Montebello Community Day,123 South Montebello Boulevard
John H. Glenn High,13520 Shoemaker Avenue
La Mirada High,13520 Adelfa Drive
Norwalk High,11356 East Leffingwell Road
El Camino High (Continuation),14625 Keese Drive
Antelope Valley Learning Academy,"1601 Palmdale Boulevard, Suite C"
Palos Verdes Peninsula High,27118 Silver Spur Road
Palos Verdes High,600 Cloyden Road
Paramount Alternative Education Center,3701 Michelson Street
Paramount High,14429 South Downey Avenue
Buena Vista High,3717 Michelson Street
CIS Academy,2925 East Siera Madre Boulevard
Learning Works,90 North Daisy Avenue
John Muir High,1905 North Lincoln Avenue
Rose City High (Continuation),351 South Hudson Avenue
Pasadena High,2925 East Sierra Madre Boulevard
School of Extended Educational Options,"1460 East Holt Avenue, Suite 100"
Ganesha High,1151 Fairplex Drive
Garey High,321 West Lexington Avenue
Park West High (Continuation),"1460 West Holt Avenue, Suite 100"
Pomona High,475 Bangor Street
Diamond Ranch High,100 Diamond Ranch Drive
Santa Monica High,601 Pico Boulevard
McKinley Elementary,2401 Santa Monica Boulevard
Will Rogers Elementary,2401 14th Street
Charles Helmers Elementary,27300 North Grandview Drive
South Pasadena Senior High,1401 Fremont Avenue
Monterey Hills Elementary,1624 Via del Rey
Temple City High,9501 Lemon Avenue
North High,3620 West 182nd Street
South High,4801 Pacific Coast Highway
Torrance High,2200 Carson Street
West High,20401 Victor Street
California Virtual Academy @ Los Angeles,50 Moreland Road
Coronado High (Continuation),1500 East Francisquito Avenue
West Covina High,1609 East Cameron Avenue
Frontier High (Continuation),9401 South Painter Avenue
California High,9800 South Mills Avenue
La Serna High,15301 East Youngwood Drive
Santa Fe High,10400 South Orr and Day Road
Sierra Vista High (Alternative),9401 South Painter Avenue
Golden Valley High,27051 Robert C. Lee Parkway
West Ranch High,26255 West Valencia Boulevard
Mission View Public,26334 Citrus Street
Canyon High,19300 West Nadal Street
Saugus High,21900 Centurion Way
William S. Hart High,24825 North Newhall Avenue
Bowman (Jereann) High (Continuation),21508 Centre Pointe Parkway
Valencia High,27801 North Dickason Drive
Opportunities for Learning - Santa Clarita,"320 North Halstead Street, Suite 200"
Compton High,601 South Acacia Street
Dominguez High,15301 South San Jose Avenue
Cesar Chavez Continuation High,12501 North Wilmington
Puente Hills High,15430 Shadybend Drive
La Puente High,15615 East Nelson Avenue
Los Altos High,15325 East Los Robles Avenue
Glen A. Wilson High,16455 Wedgeworth Drive
William Workman High,16303 East Temple Avenue
Santana High (Continuation),341 South La Seda Road
Nogales High,401 South Nogales Street
John A. Rowland High,2000 South Otterbein Street
Rowland Unified Community Day,1928 Nogales Street
Diamond Bar High,21400 Pathfinder Road
Walnut High,400 North Pierre Road
Gabrielino High,1327 South San Gabriel Boulevard
Options for Youth San Gabriel,"405 South San Gabriel Boulevard, Suite A"
Roosevelt Elementary,401 South Walnut Grove Avenue
Assurance Learning Academy,5701 South Western Avenue
Academy of Arts and Sciences: Los Angeles (9-12),17500 Burbank Blvd
SIATech Academy South,634 South Spring Street
Mira Costa High,1401 Artesia Boulevard
Redondo Union High,631 Vincent Park
Washington Elementary,1100 Lilienthal Lane
Alhambra High,101 South Second Street
San Gabriel High,801 Ramona Street
Madera County Independent Academy,28123 Avenue 14
Pioneer Technical Center,1025 South Madera Avenue
Gould Educational Center,117 West Dunham
Stephens Elementary,355 North 5th Street
Chowchilla Union High,805 Humboldt Avenue
Madera South High,755 West Pecan Avenue
Mountain Vista High,1901 Clinton Avenue
Madera High,200 South L Street
Marin County Special Education,1111 Las Gallinas Avenue
Novato High,625 Arthur Street
San Rafael High,185 Mission Ave
Terra Linda High,320 Nova Albion Way
Redwood High,395 Doherty Drive
Tamalpais High,700 Miller Avenue
South Valley High (Continuation),445 South Dora Street
Ukiah High,1000 Low Gap Road
Valley Merced Community,1850 Wardrobe Avenue
Merced County Special Education,632 West 13th Street
Elim Elementary,7677 North Lander Avenue
Pacheco High,200 North Ward Road
Los Banos High,1966 11th Street
Golden Valley High,2121 East Childs Avenue
Buhach Colony High,1800 Buhach Road
Atwater High,2201 Fruitland Avenue
Livingston High,1617 Main Street
Merced High,205 West Olive Avenue
Yosemite High (Continuation),1900 G Street
Pioneer Elementary,2950 Gerard Avenue
Monterey County Home Charter,901 Blanco Circle
Salinas Community,1420 Natividad Road
Carmel High,3600 Ocean Avenue
Mary Chapa Academy,490 El Camino Real
Del Rey Elementary,502 King Street
Greenfield High,225 South El Camino Real
Monterey High,101 Herrmann Drive
Seaside High,2200 Noche Buena Street
El Puente,20 Sherwood Place
Alisal High,777 Williams Road
Everett Alvarez High,1900 Independence Boulevard
North Salinas High,55 Kip Drive
Mount Toro High,10 Sherwood Place
Salinas High,726 South Main Street
North Monterey County High,13990 Castroville Boulevard
North Monterey County Center for Independent Study,17500 Pesante Road
Soledad High,425 Gabilan Drive
Rose Ferrero Elementary,400 Entrada Drive
American Canyon High,3000 Newell Drive
Vintage High,1375 Trower Avenue
Napa High,2475 Jefferson Street
Salvador Elementary,1850 Salvador Avenue
John Muir Charter Schools,12338 McCourtney Road
Nevada Union High,11761 Ridge Road
Access Juvenile Hall,"1715 East Wilshire Avenue, Suite 702"
OCCS:CHEP/PCHS,"2910 Redhill Avenue, Suite 200"
Access County Community,200 Kalmus Drive
Orange County Special Education,200 Kalmus Drive
Cypress High,9801 Valley View Street
Anaheim High,811 West Lincoln Avenue
Polaris High (Alternative),1800 West Ball Road
Gilbert High (Continuation),1800 Ball Road
Katella High,2200 East Wagner Avenue
John F. Kennedy High,8281 Walker Street
Loara High,1765 West Cerritos Avenue
Magnolia High,2450 West Ball Road
Savanna High,301 North Gilbert Street
Western High,501 South Western Avenue
Hope,7901 Knott Avenue
Brea-Olinda High,789 North Wildcat Way
Capistrano Connections Academy,33272 Valle Road
San Juan Hills High,29211 Stallion Ridge
Capistrano Valley High,26301 Via Escolar
Aliso Niguel High,28000 Wolverine Way
Tesoro High,1 Tesoro Creek Road
San Clemente High,700 Avenido Pico
Dana Hills High,33333 Golden Lantern
Crown Valley Elementary,29292 Crown Valley Parkway
Raymond Temple Elementary,7800 Holder Street
Sunset Lane Elementary,2030 Sunset Lane
La Sierra High (Alternative),951 North State College Boulevard
Buena Park High,8833 Academy Drive
Fullerton Union High,201 East Chapman Avenue
La Habra High,801 West Highlander Avenue
La Vista High (Continuation),909 North State College Boulevard
Sonora High,401 South Palm Street
Sunny Hills High,1801 Warburton Way
Troy High,2200 East Dorothy Lane
Marie L. Hare High,12012 Magnolia Street
Bolsa Grande High,9401 Westminster Avenue
Garden Grove High,11271 Stanford Avenue
La Quinta High,10372 McFadden Street
Los Amigos High,16566 Newhope Street
Pacifica High,6851 Lampson Avenue
Rancho Alamitos High,11351 Dale Street
Santiago High,12342 Trask Avenue
Joseph R. Perry Elementary,19231 Harding Lane
Ocean View High,17071 Gothard Street
Edison High,21400 Magnolia
Fountain Valley High,17816 Bushard
Huntington Beach High,1905 Main Street
Marina High,15871 Springdale Street
Westminster High,14325 Goldenwest Street
Valley Vista High (Continuation),9600 Dolphin Street
Dr. Albert Schweitzer,229 South Dale Avenue
Corona del Mar High,2101 Eastbluff Drive
Costa Mesa High,2650 Fairview Road
Estancia High,2323 Placentia Avenue
Newport Harbor High,600 Irvine Avenue
Canyon High,220 South Imperial Highway
El Modena High,3920 Spring Street
Orange High,525 North Shaffer Street
Richland Continuation High,615 North Lemon Street
Villa Park High,18042 Taft Avenue
Canyon Hills,260 South Imperial Highway
Yorba Linda High,19900 Bastanchury Road
Esperanza High,1830 North Kellogg Drive
El Dorado High,1651 North Valencia Avenue
El Camino Real Continuation High,1351 East Orangethorpe Avenue
Valencia High,500 North Bradford Avenue
Segerstrom High,2301 West MacArthur Boulevard
Hector G. Godinez,3002 Centennial Road
Cesar E. Chavez High,2128 South Cypress
Century High,1401 South Grand Avenue
Lorin Griset Academy,1915 West McFadden
Saddleback High,2801 South Flower
Santa Ana High,520 West Walnut
Valley High,1801 South Greenville Street
Jessie Hayden Elementary,14782 Eden Street
El Toro High,25255 Toledo Way
Silverado High,25632 Peter A. Hartman Way
Laguna Hills High,25401 Paseo de Valencia
Trabuco Hills High,27501 Cordova Road
Mission Viejo High,25025 Chrisanta Drive
Olivewood Elementary,23391 Dune Mear Road
Glen Yermo Elementary,26400 Trabuco Road
Esperanza,25121 Pradera Drive
Lomarena Elementary,25100 Earhart Road
Cielo Vista Elementary,21811 Avenida De Los Fundadores
Foothill Ranch Elementary,1 Torino Drive
Arnold O. Beckman High,3588 Bryan Avenue
Foothill High,19251 Dodge Avenue
Tustin High,1171 El Camino Real
W. R. Nelson Elementary,14392 Browning Avenue
Irvine Adult Transition Programs,311 West Yale Loop
Cypress Village Elementary,355 Rush Lily
Portola Springs Elementary,12100 Portola Springs
Irvine High,4321 Walnut Avenue
Woodbridge High,2 Meadowbrook
Northwood High,4515 Portola Parkway
University High,4771 Campus Drive
Los Alamitos High,3591 Cerritos Avenue
Antelope Meadows Elementary,8343 Palmerson Drive
Del Oro High,3301 Taylor Road
Placer High,275 Orange Street
Antelope High,7801 Titan Drive
Woodcreek High,2551 Woodcreek Oaks Boulevard
Granite Bay High,1 Grizzly Way
Oakmont High,1710 Cirby Way
Roseville High,1 Tiger Way
Partnerships for Student-Centered Learning,"2800 Nicolaus Road, Suite 100"
Horizon Charter,"2800 Nicolaus Road, Suite 100"
Creekside Oaks Elementary,2030 First Street
Whitney High,701 Wildcat Boulevard
Rocklin High,5301 Victory Lane
River Springs Charter,43466 Business Park Drive
Come Back Kids,3939 13th Street
Gateway College and Career Academy,4800 Magnolia Avenue
Riverside County Community,3939 13th Street
Riverside County Special Education,3939 13th Street
California School for the Deaf-Riverside,3044 Horace Street
Alvord Alternative Continuation High,10368 Campbell Avenue
La Sierra High,4145 La Sierra Avenue
Norte Vista High,6585 Crest Avenue
Alvord Continuation High,3606 Pierce Street
Banning High,100 West Westward
Hoffer Elementary,1115 East Hoffer Street
Beaumont Senior High,39139 Cherry Valley Blvd
Clara Barton Elementary,7437 Corona Valley Avenue
Harada Elementary,12884 Oakdale Street
Eleanor Roosevelt High,7447 Scholar Way
Eastvale Elementary,13031 Orange Street
John F. Kennedy High,1951 Third Street
Centennial High,1820 Rimpau Avenue
Lee V. Pollard High,185 Magnolia Avenue
Santiago High,1395 Foothill Parkway
Corona High,1150 West Tenth Street
