school,avgscrwrite,phone
Alliance Academy,,(510) 639-2893
Elmhurst Community Prep,,(510) 639-2888
Coliseum College Prep Academy,383.0,(510) 639-3201
ROOTS International Academy,,(510) 639-3226
Fred T. Korematsu Discovery Academy,,(510) 639-3377
American Indian Public Charter School II,,(510) 893-8701
Conservatory of Vocal/Instrumental Arts,,(510) 285-7511
Oakland Charter High,524.0,(510) 893-8700
KIPP Bridge Academy,,(510) 874-7255
Community United Elementary,,(510) 639-2850
ARISE High,369.0,(510) 436-5487
Civicorps Corpsmember Academy,,(510) 992-7800
Futures Elementary,,(510) 636-0520
Global Family,,(510) 535-3862
Learning Without Limits,,(510) 879-1282
East Oakland Pride Elementary,,(510) 636-8217
Greenleaf Elementary,,(510) 636-1400
West Oakland Middle,,(510) 874-6788
Barack Obama Academy,,
Oakland International High,327.0,(510) 597-4287
East Oakland Leadership Academy High,,
Aspire Golden State College Preparatory Academy,383.0,(510) 562-8030
Ralph J. Bunche High,,(510) 874-3300
Gateway to College at Laney College,,(510) 464-3592
Aspire ERES Academy,,(510) 436-9760
Civicorps Middle,,
Infant and Preschool Program,,(510) 729-7771
Young Adult Program,,(510) 879-2715
Home and Hospital Program,,(510) 879-8180
Burbank Preschool Center,,(510) 729-7771
Vincent Academy,,(510) 452-2100
Castlemont High,351.0,(510) 639-1466
Fremont High,392.0,(510) 434-5257
100 Black Men of the Bay Area Community,,
LPS Oakland R & D Campus,,(510) 633-0750
Aspire College Academy,,(510) 562-8030
Epic Charter,,(510) 689-2035
Downtown Charter Academy,,(510) 444-1702
East Bay Innovation Academy,,(510) 577-9557
Adult Evening,,
McClymonds Evening High,,
Skyline Evening High,,
East Oakland Street Academy,,
Renaissance Junior/Senior High,,
Oakland Special Programs (Cyes,,
Rudsdale Senior High,,
Clawson Senior High,,
Eastside Continuation High,,
Lafayette Opportunity,,
Manzanita Opportunity,,
Bunche Continuation High,,
Civicorps Elementary,,
Merritt Middle College High (Alternative),,
Oakland Adult and Career Education,,(510) 273-2300
LIFE Academy,377.0,(510) 534-0282
University Preparatory Charter Academy,,
"Oakland Military Institute, College Preparatory Academy",418.0,(510) 594-3900
Lighthouse Community Charter,,(510) 562-8801
Lotus Agriculture and Technology Academy,,
Aspire Lionel Wilson College Preparatory Academy,410.0,(510) 635-7737
School of Social Justice and Community Develo,,
Aspire Triumph Technology Academy,,(510) 638-9445
Castlemont Primary Academy,,(510) 457-6900
Roses in Concrete,,(510) 698-3794
Castlemont Junior Academy,,
Castlemont Evening High,,
Francophone Charter School of Oakland,,(510) 394-4110
Conservatory of Vocal/Instrumental Arts High,,(510) 328-1119
Lodestar: A Lighthouse Community Charter Public,,(510) 209-2166
Grant Senior High,,
Oakland Technical Evening High,,
Oakland School for the Arts,523.0,(510) 873-8800
Burbank Elem.,,
Whitton (Oh) (Charles) Center,,
Clawson Elementary,,
Hammarskjold (Dag) Opportunity,,
Edison Elementary,,
Ralph J. Bunche Elementary,,
Rockridge Elementary,,
Willow Manor Elem.,,
ACORN Woodland Elementary,,(510) 639-3344
Development Center for Handica,,
East Bay Activity Center,,
Mosswood Elementary,,
Renaissance Alternative,,
Development Center for the Handicapped,,
Arts School,,
Hawthorne (Deaf),,
Toliver Elementary,,
Madison Opportunity,,
Kdol-T.V.,,
Oakland Charter Academy,,(510) 532-6751
American Indian Public Charter,,(510) 893-8701
"Independent Study, Sojourner Truth",,(510) 729-4308
West Oakland Community Charter,,
Oak Tree Charter,,
Reems (Ernestine C.) Academy of Technology and Art,,
Huerta (Dolores) Learning Academy,,
Aspire Monarch Academy,,(510) 568-3101
Meroe International Academy Charter,,
North Oakland Community Charter,,(510) 655-0540
ASCEND,,(510) 879-3140
International Community,,(510) 532-5400
Melrose Leadership Academy,,(510) 535-3832
Urban Promise Academy,,(510) 436-3636
Growing Children Charter,,
KIPP Bridge College Preparatory,,
Ralph J. Bunche Academy,,
Rudsdale Academy,,
Montessori Children's Center,,
East Bay Skills Center,,
Piedmont Preschool,,(510) 594-2892
Alisal Elementary,,
Fairlands Elementary,,
Pleasanton Elementary,,
Valley View Elementary,,
Walnut Grove Elementary,,
Harvest Park Intermediate,,
Vintage Hills Elementary,,
Pacific High,,
Cleveland Elementary,,
Halcyon Elementary,,
Kennedy Elementary,,
Madison Elementary,,(510) 895-7944
San Leandro Charter Academy,,
KIPP Summit Academy,,(510) 258-0106
East Bay Arts High,418.0,(510) 317-4471
KIPP King Collegiate High,478.0,(510) 317-2330
San Lorenzo Unified Preschool,,(510) 317-4400
Independent Study,,
Marina High,,
Marina Center for Career Training,,
Argonne Elementary,,
Ashland Elementary,,
Barrett Intermediate,,
Bohannon Middle,,(510) 317-3800
Dayton Elementary,,(510) 317-3600
El Portal Elementary,,
Fairmont Elementary,,
Fairmont Terrace Elementary,,
Lewelling Elementary,,
Linda Vista Elementary,,
Martin Elementary,,
Sunset Elementary,,
Village Elementary,,
Sunol Glen Elementary,,
Hayward-Newhaven Rop/Roc,,
Eleanor Murray Fallon,,
John Green Elementary,,(925) 833-4200
Harold William Kolb,,(925) 833-4720
Eleanor Murray Fallon,,(925) 875-9376
J. M. Amador Elementary,,(925) 307-1950
Donlon Elementary,,
Dublin Elementary,,(925) 833-1204
Fallon Elementary,,
James Dougherty Elementary,,(925) 803-4444
Pleasanton Community Day,,
Harvest Park Preschool Center,,(925) 462-3325
Pleasanton Unified Alternative,,
Horizon High,,
Henry P. Mohr Elementary,,(925) 426-4256
Thomas S. Hart Middle,,(925) 426-3102
Phoebe Apperson Hearst Elementary,,(925) 426-3772
Bay Area School for Independent Study B.A.S.I.S.,,
Alpine County Adult Education,,
Alpine County Special Education,,
Alpine County Secondary Community Day,,(530) 694-9423
Bear Valley High,,
Woodfords High,,
Clay Elementary,,
Lincoln Elementary,,
Alpine County Special Education,,
Diamond Valley Independent Study,,
Jmms Satellite Campus,,
Alpine County Elementary Community Day,,
Amador County Community Day,,
Shenandoah Valley,,(209) 245-4284
Amador County Special Education,,(209) 257-5330
Regional Occupational Program,,
Amador County Special Education,,
Preston School of Industry,,
Pine Grove Youth Conservation Camp,,
Ione High,,
Ione Elementary,,
Jackson High,,
Jackson Elementary,,
Jackson Senior Elem (Defunct),,
Independence High (Cont),,
Amador County High,,
Pine Grove Elementary,,
Pioneer Elementary,,
Plymouth Elementary,,
Sutter Creek Elementary,,
Kirkwood Meadows,,
Juvenile Court/Community,,
North Star Independent Study,,(209) 257-5150
Ione High,,
South County Community,,
North County Community,,
CORE Butte Charter,485.0,(530) 894-3952
Central Middle - RISE,,
RISE,,(530) 532-5642
Paradise High - RISE,,
Butte County Community School - LEAD,,(530) 532-5642
Alternative For Change,,
Come Back Butte Charter,,(530) 532-5757
Juvenilehall/Community,,
"Community School, The",,
Other County-Wide Programs,,
Learning Community Charter,,(530) 532-5916
School of Applied Resources,,
South County Community Day,,
Mesa Vista Language and Hearing,,
Development Center for Handicapped,,
Loma Vista,,
Nelson (EMR),,
Richvale (MH),,
Sierra Ridge School for TMR,,
Table Mountain,,
Sierra Del Oro (Hr),,
Oak Hills Academy,,
Biggs Secondary Community Day,,(530) 868-1281
Biggs Middle,,
Biggs Intermediate Community Day,,
Nord Country,,(530) 891-3138
Academy for Change,,(530) 891-3092
Forest Ranch Charter,,(530) 891-3154
Inspire School of Arts and Sciences,562.0,(530) 891-3090
Pivot Charter School - North Valley,,
Chico Green,,
Sherwood Montessori,,(530) 345-6600
Wildflower Open Classroom,,(530) 892-1676
Center for Alternative Learning,,(530) 891-3092
Oakdale,,(530) 891-3092
Loma Vista,,(530) 879-7400
Chico Adult,,
Oakdale Elementary,,
Dickey (Levi H.) Elem.,,
Emma Wilson Elementary,,(530) 891-3297
Center for Alternative Learning,,
Chico Country Day,,(530) 895-2650
Marsh (Harry M.) Junior High,,(530) 895-4110
Blue Oak Charter,,(530) 879-7483
Durham Adult,,
Mission High,,
Ipakanni Early College Charter,,(530) 532-1165
Pivot Charter School North Valley,,(530) 636-4479
Golden Feather Community Day,,
McKinley Elementary,,
Sycamore Middle,,
Wilson Elementary,,
Esperanza High (Cont),,
Gridley High,,
Ishi Hills Middle,,(530) 532-3078
STREAM Charter,,(530) 534-1633
Atkins Elem.,,
Burbank Elementary,,
Sierra Del Oro,,(530) 532-5690
Challenge Charter High,,
Oroville High Community Day,,(530) 538-2330
Golden Hills Elementary,,(530) 532-6000
Palermo Special Education Preschool,,(530) 533-4842
Palermo Union Community Day (K-8),,(530) 533-4708
Palermo Union Community Day,,
Palermo Union Community Day (5-8),,(530) 533-4708
Achieve Charter School of Paradise Inc.,,(530) 872-4100
Honey Run Academy Elementary,,(530) 872-6461
Paradise eLearning Charter Academy,,(530) 872-6425
Paradise Unified Special Education,,(530) 872-6400
Honey Run Academy Secondary,,(530) 872-6461
Paradise Charter Network (155),,
Canyon View Elem.,,
Brakebill (Horace) Elementary,,
Paradise Preschool,,
HomeTech Charter,,(530) 872-1171
Paradise Charter Middle,,(530) 872-7277
Cedarwood Elementary,,(530) 873-3785
Children's Community Charter,,(530) 877-2227
Mountain Ridge Middle,,
Paradise Preschool,,
Pioneer Community Day,,(530) 532-4437
Plumas Avenue Elementary,,(530) 538-2930
Heritage Community Day,,(530) 532-4376
Brush Creek Elem.,,
Bald Rock Community Day,,
Gridley Unified Community Day (7-12),,(530) 846-4383
Gridley Unified Community Day (1-6),,
Camp Connell Community Day,,
Structured/Special Day Class Preschool,,
Calaveras River Academy,,(209) 754-1996
Alternative/Opportunity,,
Angels Creek Community Day,,
Mountain Oaks,,(888) 686-6257
Calaveras County Adult Education Consortium,,(209) 736-6046
Mountain Ranch TMR,,
Fricot Ranch School for Boys,,
Jenny Lind High,,
John Vierra High,,(209) 736-2507
Jenny Lind High,,
Calaveras Educational Transitions,,
Calaveras Continuation High,,
Copperopolis Elementary,,
Mark Twain Community Day,,
Murphys Elementary,,
Vallecito Elementary,,
Avery Middle,,(209) 795-8520
Home School Academy (Alternative),,
Vallecito Community Day,,
S. William Abel Community,,(530) 473-1350
Personalized Instr. Ctr.,,
Colusa Alternative Home,,(530) 458-2156
Colusa Adult,,
Maxwell Middle,,(530) 438-2401
Maxwell Adult,,
Enid Prine High (Continuation),,
Arbuckle Alternative High (Continuation),,(530) 476-2173
Arbuckle Adult,,
Arbuckle Adult,,
Dunnigan Elementary,,
Pierce Elem (Defunct),,
Williams Upper Elementary,,(530) 473-5304
Williams Junior High,,
Mid Valley High (Continuation),,(530) 473-2450
Fresh Water Adult,,
Williams Middle,,
Williams Middle,,
Far East County Programs,,(925) 634-0511
Central County Special Education Programs,,(925) 837-6007
East County Elementary Special Education,,(925) 777-2000
Making Waves Academy,452.0,(510) 262-1511
Heritage CCCOE Special Education Programs,,(925) 634-3671
Contra Costa Juvenile Court School,,(925) 957-2767
Caliber: Beta Academy,,(510) 685-9886
Summit Public School K2,,(510) 435-2032
Contra Costa School of Performing Arts,,(925) 690-8600
Girls' Center,,
Other County-Wide Programs,,
Work Furlough Center Adult Edu,,
Edgar Center,,
East Gate Community Day,,
Boys Ranch,,
Guide-Centra,,
Guide-Western,,
Richmond Union High (Defunct),,
"George Miller, Jr.,-West Memorial Ctr.",,
Jefferson (Smr),,
Juvenile Hall Complex,,
Las Trampas Youth Village,,
Martin Luther King (Sp. Ed.),,
"George Miller, Jr.,-East Memorial Ctr.",,
Lucille Glass Mauzy Special Center,,
Highlands School Oh,,
Ralph Harmon,,
Ellis Highlands (Special Ed.),,
Turner Highlands (Special Ed.),,
Lions Gate,,
Boys' Center (Juvenile Court),,
Living Skills Center for Visua,,
High In-Put Project,,
Tice Valley Special Center,,
Developmental Kindergarten,,
Full Potential Program,,
Foothill Special Center,,
Day Center School,,
Day Center/Community,,
Marchus (Floyd I.) Special Center,,
Kensington School,,
King Vocational Education/Preschool,,
Acalanes Center for Independent Study,,(925) 280-3945
Del Valle High,,
Lone Tree Elementary,,(925) 779-7480
Dallas Ranch Middle,,(925) 779-7485
Carmen Dragon Elementary,,(925) 779-7475
Bidwell Continuation High,,(925) 779-7520
Orchard Park,,(925) 779-7445
Antioch Charter Academy II,,(925) 755-1252
Dozier-Libbey Medical High,495.0,(925) 779-7540
Delta Academy for the Performing Arts,,
R.A.A.M.P. Charter Academy,,
Antioch Unified Alternative Education,,
Deer Valley High,464.0,(925) 776-5555
Bridges,,(925) 779-7440
Excel High,,
Jack London Elementary,,(925) 779-7455
Black Diamond Middle,,(925) 776-5500
Grant Elementary,,(925) 779-7465
Antioch Charter Academy,,(925) 755-7311
Diablo Vista Elementary,,(925) 779-7470
Pioneer Elementary,,(925) 513-6410
Marsh Creek Elementary,,(925) 513-6420
Adams (J. Douglas) Middle,,(925) 513-6480
Mary Casey Black Elementary,,(925) 513-6430
William B. Bristow Middle,,(925) 513-6460
Loma Vista Elementary,,(925) 513-6390
R. Paul Krey Elementary,,(925) 513-6400
Vista Oaks Charter,,(209) 365-4060
Byron Intermediate,,
Timber Point Elementary,,(925) 809-7550
Garretson Middle,,
Old River Elementary,,
Old River Elementary,,(925) 626-3330
Knightsen Community Day,,
HomeSmartKids of Knightsen,,
Fairview Intermediate,,
Merriewood Elementary,,
Montecito Elementary,,
Vallecito Elementary,,
W. B. Ellis Elementary,,
Heritage High,511.0,(925) 634-0037
Freedom High,464.0,(925) 625-5900
Independence High,,(925) 634-2589
Martinez Early Intervention Preschool Program (MEIPP),,(925) 372-7159
Martinez Unified Alter. Educ.,,
Vicente Martinez High,,(925) 228-9232
Briones (Alternative),,(925) 228-9232
Martinez High (Continuation),,
Martinez Elementary,,
Montecito Elementary,,
Morello Park Elementary,,(925) 335-5840
Mountain View Primary,,
Vine Hill Primary (Defunct),,
Martinez Adult School Center,,
Los Perales Elementary,,(925) 631-0105
Mulberry Tree,,
Delta View Elementary,,(925) 261-0240
Mt. Diablo TMR High,,
Group Home School,,
Oak Park Adult Center,,
Outreach,,
Adelante High (Continuation),,
Crossroads High (Alternative),,(925) 689-6852
Summit High (Continuation),,(925) 687-0991
Diablo Community Day,,(925) 676-6862
Mt. Diablo Adult,,
Pacifica High,,
Pleasant Hill High,,
Ambrose Elementary,,
Cambridge Elementary,,(925) 686-4749
Clayton Valley Elementary,,
Concord Elementary,,
Crawford Village Elementary,,
Sequoia West Elementary,,
Gregory Gardens Hearing/Lang./Assessment Ctr.,,
Hillcrest Elementary,,
Larkey Elementary,,
Loma Visa Intermediate,,
Oak Park Center,,
Pacheco Elementary,,
San Miguel Elementary,,
Shadelands (Special Education),,
Williams Elementary,,
Castle Rock Elementary,,
Willow Creek Elementary,,
Clayton Valley Special(Eh),,
Treat Learning Center,,
Pleasant Hill Adult Center,,
Crawford Village Center,,
Hillcrest Center,,
Foster Child Program,,
Diablo View Middle,,(925) 672-0898
Gregory Gardens Elementary,,(925) 827-3770
Pleasant Hill Middle,,(925) 256-0791
Eagle Peak Montessori,,(925) 946-0994
Williams Preschool Center,,
Iron House Elementary,,(925) 625-6825
Almond Grove Elementary,,(925) 625-6270
Oakley Middle,,
Laurel Elementary,,(925) 625-7090
Vintage Parkway Elementary,,(925) 625-6800
Delta Vista Middle,,(925) 625-6840
Inland Valley Elementary,,
Orinda Elem.,,
Pine Grove Intermediate,,
Wagner Ranch Elementary,,(925) 258-0016
Marina Vista Elementary,,(925) 473-2490
Martin Luther King Jr. Junior High,,(925) 473-2500
Pittsburg Adult Center,,
Downtown Center,,
Grasp Independent Study,,
Pittsburg Unified Community Day,,
Marina High (Cont.),,
Pittsburg Senior High South,,
El Pueblo Elem (Defunct),,
Marina Elementary,,
Central Junior High,,
Martin Luther King Preschool,,
Willow Cove Elementary,,
Elementary Community Day,,
Leadership Public Schools: Richmond,410.0,(510) 235-4522
Richmond College Preparatory,,(510) 235-2066
West County Community High,,
Cameron,,(510) 233-1955
WCCUSD Community Day School Program,,
Richmond Charter Academy,,(510) 235-2465
Richmond Charter Elementary-Benito Juarez,,(510) 235-2465
Aspire Richmond Ca. College Preparatory Academy,,(510) 434-5000
Aspire Richmond Technology Academy,,(510) 480-0660
John Henry High,,(510) 899-4806
Summit Public School: Tamalpais,,(510) 374-4185
Richmond Unified Alter. Ed.,,
North Campus (Cont.) High,,
Delta Continuation High,,
Kappa Continuation High,,
Omega Continuation High,,
Sigma Continuation High,,
Cameron Special Education,,
Transition Learning Center,,
Alternative Education Learning Center Charter,,
Hercules High,454.0,(510) 231-1429
Ells High,,
Gompers Hi (Defunct),,
Alvarado Elementary,,
Balboa Elementary,,
Belding Elementary,,
Broadway Elementary,,
Cameron Elementary,,
Cortez Elementary,,
Del Mar Elementary,,
El Monte Elementary,,
El Portal Elementary,,
Hillview Elementary,,
Kerry Hills Elementary,,
Rancho Elementary,,
Serra Elementary,,
Vista Hills Elem. (Special Edu,,
Woods Elementary,,
"Miller (George, Jr.) Center, West",,
"Miller (George, Jr.) Center, East",,
Roosevelt Jr. High,,
Harmon (Ralph) (Smr),,
Hanna Ranch Elementary,,(510) 231-1441
Harbour Way Elementary Community Day,,(510) 231-1438
Cesar E. Chavez Elementary,,(510) 231-1418
Manzanita Middle,,(510) 222-3500
Towers Preparatory,,
Hercules Middle,,(510) 231-1429
Hercules Middle,,
Lovonya DeJean Middle,,(510) 231-1430
Hidden Hills Elementary,,(925) 479-3800
Windemere Ranch Middle,,(925) 479-7400
Quail Run Elementary,,(925) 560-4000
Dougherty Valley High,613.0,(925) 479-6400
Live Oak Elementary,,(925) 803-3100
INFANT Pre,,(925) 820-6815
Gale Ranch Middle,,(925) 479-1500
Creekside Elementary,,(925) 314-2000
Bella Vista Elementary,,(925) 552-2960
San Ramon Adult Education,,
San Ramon Adult Education,,
Horizons Community Day,,
Los Meganos Elem,,
Venture,,
Sycamore Valley Elementary,,(925) 736-0102
Iron Horse Middle,,(925) 824-2820
Tassajara Hills Elementary,,(925) 855-7800
Diablo Vista Middle,,(925) 855-7600
Coyote Creek Elementary,,(925) 855-7300
Tice Creek,,(925) 746-5515
Parkmead Intermediate,,
Tice Valley Elementary,,
Walnut Creek Elem.,,
Synergy Education Project,,
Rocketship Futuro Academy,,(301) 789-5469
Elk Creek,,(707) 464-0750
Bar-O,,(707) 954-5601
Klamath River Early College of the Redwoods,,
Uncharted Shores Academy,,(707) 464-9828
Juvenile Hall/Community,,
Castle Rock,,(707) 464-0390
Del Norte County Community (Secondary),,
Del Norte County Special Educa,,
Del Norte County Community (Elementary),,
Del Norte County Adult,,
Lake Earl Elementary,,
Mary Peacock Elementary,,(707) 464-0301
Blue Ridge,,(530) 541-4126
El Dorado COE Adult Education,,(530) 295-2434
El Dorado COE Charter Community Day,,
Workforce Investment Act Charter,,
Charter Alternative Program (CAP),,(530) 622-6984
County Community,,
Charter Community School Home Study Academy,527.0,(530) 295-2257
Rite of Passage,,(530) 295-2271
Charter Transitional Reporting Educational Center (TREC II),,
Charter Transitional Reporting Educational Center (TREC I),,
Bliss Special Training (TMR),,
Winnie Wakeley Special Education,,
Gold Oak Special Education Facility,,
County Community,,
El Dorado County Community,,
Oak Meadow Elementary,,(916) 933-9746
Charter Montessori Blue Oak Campus,,(530) 676-0164
California Montessori Project-Shingle Springs Campus,,(530) 672-3095
Rising Sun Montessori,,(916) 936-2333
Silva Valley Elementary,,(916) 933-3767
Rolling Hills Middle,,(916) 933-9290
Camino Science and Natural Resources Charter,,(530) 644-4552
Mountain View High,,
Diamond Continuation High,,
Union Mine High,498.0,(530) 621-4003
EDUHSD Community Day,,
EDUHSD Virtual Academy at Shenandoah,,(530) 622-6212
Vista High,,(530) 622-3634
Independent Learning Centers,,
Gold Oak Arts Charter,,
Lake Tahoe Environmental Science Magnet,,(530) 543-2371
South Lake Tahoe Continuation,,
Transitional Learning Center (Continuation),,(530) 543-2264
Sierra House Elementary,,
Contract Independent Study,,
Mother Lode Charter,,
Diamond Elem.,,
Learning with a Purpose,,
Mountain Creek Middle,,(530) 620-4393
Walt Tyler Elementary,,(530) 622-2995
Smithflat Elem.,,
Placerville Union Community Day,,
Pollock Pines Alternative,,
Pollock Pines Elementary,,
Emigrant Trail Elementary,,
Pleasant Grove Middle,,(530) 672-4400
Lakeview Elementary,,(916) 941-2600
Contract Independent Study,,
American River Charter,,(530) 333-8340
Georgetown Adult,,
Black Oak Mine Adult,,
Black Oak Mine Community Day,,
Golden Sierra High,,
Georgetown Middle School,,
Northside Middle,,
Pacific Technology School Orangevale,,
Pacific Technology School Santa Ana,,
Crescent View West Charter,,(559) 222-8439
Selma Learning Academy,,
Hume Lake Charter,,(559) 305-7565
