subtypes,supertypes
"Goblin,Warrior",Legendary
"Human,Monk",Legendary
"Human,Monk",Legendary
"Snake,Shaman",Legendary
"Snake,Monk",Legendary
"Snake,Warrior",Legendary
Equipment,Legendary
Equipment,Legendary
Elemental,Legendary
Angel,Legendary
"Zombie,Dragon",Legendary
"Giant,Warrior",Legendary
"Human,Wizard",Legendary
"Giant,Warrior",Legendary
"Zombie,Elemental",Legendary
Vampire,Legendary
Angel,Legendary
Dragon,Legendary
Horse,Legendary
"Human,Knight",Legendary
"Cat,Soldier",Legendary
Angel,Legendary
"Human,Artificer",Legendary
"Djinn,Monk",Legendary
"Nightmare,Cat",Legendary
"Human,Artificer",Legendary
"Elf,Scout",Legendary
"Elf,Warrior",Legendary
"Kobold,Warrior",Legendary
"Goblin,Artificer",Legendary
"Wolf,Beast",Legendary
"Elf,Druid",Legendary
"Human,Archer",Legendary
"Human,Artificer",Legendary
"Human,Druid",Legendary
Spirit,Legendary
"Elf,Warrior",Legendary
Ooze,Legendary
"Elf,Horror",Legendary
Dragon,Legendary
"Merfolk,Wizard",Legendary
"Turtle,Shaman",Legendary
"Elemental,Shaman",Legendary
"Zombie,Elf",Legendary
"Spirit,Soldier",Legendary
Imp,Legendary
"Orc,Pirate",Legendary
"Treefolk,Shaman",Legendary
"Human,Knight",Legendary
Leviathan,Legendary
Kraken,Legendary
"Centaur,Spirit",Legendary
God,Legendary
"Zombie,Horror",Legendary
"Human,Wizard",Legendary
"Human,Wizard",Legendary
Elemental,Legendary
"Elemental,Beast",Legendary
"Elemental,Avatar",Legendary
"Zombie,Wizard",Legendary
"Human,Monk",Legendary
"Kor,Scout",Legendary
Horse,Legendary
"Human,Knight",Legendary
"Cat,Soldier",Legendary
Angel,Legendary
"Human,Artificer",Legendary
Kraken,Legendary
"Goblin,Wizard",Legendary
"Kobold,Warrior",Legendary
"Goblin,Artificer",Legendary
"Wolf,Beast",Legendary
"Elf,Druid",Legendary
"Human,Archer",Legendary
"Human,Artificer",Legendary
"Human,Druid",Legendary
Spirit,Legendary
"Naga,Druid",Legendary
"Human,Warrior",Legendary
"Human,Shaman",Legendary
"Bird,Wizard",Legendary
"Rabbit,Wizard",Legendary
Unicorn,Legendary
"Zombie,Wizard",Legendary
"Faerie,Knight",Legendary
"Human,Rogue",Legendary
"Demon,Dragon",Legendary
Angel,Snow
Wall,Snow
Illusion,Snow
"Human,Artificer",Legendary
Shade,Snow
Zombie,Snow
"Centaur,Warrior",Snow
"Elf,Druid",Snow
"Weird,Wizard",Legendary
Vampire,Legendary
"Human,Soldier",Legendary
"Human,Advisor",Legendary
"Troll,Warrior",Legendary
Sphinx,Legendary
"Human,Cleric",Legendary
"Elf,Wizard",Legendary
Sorin,Legendary
Karn,Legendary
"Human,Soldier",Legendary
"Human,Knight",Legendary
Angel,Legendary
Aura,Legendary
"Human,Rogue",Legendary
"Zombie,Knight",Legendary
Vampire,Legendary
"Frog,Spirit",Legendary
"Ape,Warrior",Legendary
"Human,Artificer",Legendary
"Human,Warrior",Legendary
Fungus,Legendary
"Merfolk,Druid",Legendary
Teferi,Legendary
"Angel,Artificer",Legendary
Teferi,Legendary
"Human,Cleric",Legendary
Chandra,Legendary
Wizard,Legendary
Equipment,Legendary
"Spirit,Soldier",Legendary
"Zombie,Naga",Legendary
"Human,Warrior",Legendary
Sarkhan,Legendary
"Human,Wizard",Legendary
"Human,Knight",Legendary
"Human,Knight",Legendary
Oko,Legendary
"Will,Rowan",Legendary
"Eldrazi,Ooze",Legendary
Eldrazi,Legendary
"Angel,Horror",Legendary
"Human,Soldier",Legendary
Liliana,Legendary
"Angel,Horror",Legendary
"Eldrazi,Angel",Legendary
Spider,Legendary
"Human,Wizard",Legendary
"Human,Warrior",Legendary
"Human,Monk",Legendary
"Human,Warrior",Legendary
Dragon,Legendary
Dragon,Legendary
Dragon,Legendary
"Elf,Warrior",Legendary
"Human,Advisor",Legendary
Demon,Legendary
"Ogre,Warrior",Legendary
"Elf,Wizard",Legendary
"Human,Merfolk",Legendary
"Dragon,Wizard",Legendary
Angel,Legendary
"Vampire,Assassin",Legendary
"Dragon,Wizard",Legendary
Ral,Legendary
Vraska,Legendary
Angel,Legendary
"Spirit,Advisor",Legendary
"Merfolk,Wizard",Legendary
Plains,"Basic,Snow"
Swamp,"Basic,Snow"
"Human,Cleric",Legendary
"Human,Archer",Legendary
Human,Legendary
"Dwarf,Wizard",Legendary
"Vampire,Noble",Legendary
"Human,Warrior",Legendary
Mountain,Basic
Bolas,Legendary
Samut,Legendary
God,Legendary
God,Legendary
"Human,Knight",Legendary
Mountain,Basic
Lukka,Legendary
Vivien,Legendary
"Human,Soldier",Legendary
"Elemental,Dinosaur,Cat",Legendary
"Human,Warrior",Legendary
Ooze,Legendary
"Bird,Serpent",Legendary
"Elemental,Fox",Legendary
Plains,Basic
Plains,Basic
Plains,Basic
Island,Basic
Island,Basic
Forest,Basic
Forest,Basic
Forest,Basic
Dinosaur,Legendary
"Human,Cleric",Legendary
Elemental,Legendary
Angel,Legendary
"Vampire,Noble",Legendary
"Cat,Warrior",Legendary
Elemental,Legendary
Goblin,Legendary
"Human,Artificer",Legendary
"Dragon,Skeleton",Legendary
"Human,Artificer",Legendary
"Human,Artificer",Legendary
"Human,Cleric",Legendary
Dragon,Legendary
"Insect,Shaman",Legendary
"Elf,Warrior",Legendary
"Human,Wizard",Legendary
God,Legendary
"Cat,Soldier",Legendary
"Human,Wizard",Legendary
"Human,Pirate",Legendary
Tezzeret,Legendary
Vehicle,Legendary
Thopter,Legendary
God,Legendary
Liliana,Legendary
God,Legendary
Nissa,Legendary
"Human,Warrior",Legendary
"Human,Cleric",Legendary
Gideon,Legendary
Elspeth,Legendary
Tezzeret,Legendary
"Human,Knight",Legendary
Sarkhan,Legendary
Zombie,Legendary
"Human,Soldier",Legendary
Illusion,Legendary
"Human,Wizard",Legendary
"Zombie,Assassin",Legendary
Equipment,Legendary
Dragon,Legendary
Angel,Legendary
Demon,Legendary
Tibalt,Legendary
Nixilis,Legendary
"Goblin,Ally",Legendary
Kraken,Legendary
God,Legendary
God,Legendary
Kiora,Legendary
Spirit,Legendary
"Human,Samurai",Legendary
Spirit,Legendary
Spirit,Legendary
"Demon,Spirit",Legendary
Spirit,Legendary
Spirit,Legendary
"Ogre,Shaman",Legendary
"Goblin,Warrior",Legendary
Spirit,Legendary
Spirit,Legendary
"Snake,Shaman",Legendary
"Snake,Shaman",Legendary
Aura,Legendary
"Human,Advisor",Legendary
"Moonfolk,Wizard",Legendary
"Human,Wizard",Legendary
Faerie,Legendary
"Orc,Shaman",Legendary
Sphinx,Legendary
"Goblin,Artificer",Legendary
"Human,Artificer",Legendary
"Zombie,Assassin",Legendary
Forest,Basic
Elemental,Legendary
"Vampire,Shaman",Legendary
Goblin,Legendary
Angel,Legendary
"Sphinx,Wizard",Legendary
"Cat,Giant",Legendary
"Human,Samurai",Legendary
Snake,Snow
"Human,Advisor",Legendary
"Zombie,Horror",Legendary
"Human,Wizard",Legendary
"Human,Soldier",Legendary
"Human,Wizard",Legendary
"Human,Cleric",Legendary
"Human,Warrior",Legendary
"Human,Soldier",Legendary
"Human,Knight",Legendary
Human,Legendary
God,Legendary
"Human,Warrior",Legendary
"Elf,Warrior",Legendary
Dragon,Legendary
"Cat,Giant",Legendary
"Cat,Warrior",Legendary
"Cat,Cleric",Legendary
"Vampire,Shaman",Legendary
"Dragon,Spirit",Legendary
Dragon,Legendary
Dragon,Legendary
"Human,Wizard",Legendary
"Vedalken,Wizard",Legendary
"Dragon,Wizard",Legendary
"Dragon,Wizard",Legendary
Equipment,Legendary
Hydra,Legendary
Nymph,Legendary
Windgrace,Legendary
Saheeli,Legendary
"Human,Artificer",Legendary
Spider,Legendary
"Merfolk,Shaman",Legendary
"Zombie,Wizard",Legendary
Minion,Legendary
Sphinx,Legendary
"Human,Ninja",Legendary
Angel,Legendary
"Human,Soldier",Legendary
Vampire,Legendary
"Human,Shaman",Legendary
"Human,Minion",Legendary
"Djinn,Monk",Legendary
"Human,Soldier",Legendary
"Human,Shaman",Legendary
Garruk,Legendary
"Elf,Shaman",Legendary
Ral,Legendary
"Human,Soldier",Legendary
"Human,Soldier",Legendary
"Merfolk,Wizard",Legendary
God,Legendary
God,Legendary
"Weird,Wizard",Legendary
Nahiri,Legendary
Nissa,Legendary
"Dragon,Wizard",Legendary
"Human,Advisor",Legendary
Spirit,Legendary
"Human,Samurai",Legendary
Shrine,Legendary
"Dragon,Spirit",Legendary
"Moonfolk,Wizard",Legendary
Spirit,Legendary
Spirit,Legendary
"Demon,Spirit",Legendary
"Goblin,Shaman",Legendary
"Human,Shaman",Legendary
Spirit,Legendary
"Dragon,Spirit",Legendary
Shrine,Legendary
Spirit,Legendary
"Dragon,Spirit",Legendary
"Snake,Warrior",Legendary
Spirit,Legendary
Dragon,Legendary
"Human,Cleric",Legendary
"Centaur,Spirit",Legendary
"Demon,Dragon",Legendary
Ooze,Legendary
"Vedalken,Wizard",Legendary
Dragon,Legendary
Dragon,Legendary
"Kor,Scout",Legendary
Sphinx,Legendary
Bird,Legendary
"Pirate,Spirit",Legendary
"Human,Artificer",Legendary
"Human,Rogue",Legendary
Golem,Legendary
"Vampire,Noble",Legendary
Szat,Legendary
"Zombie,Wizard",Legendary
"Human,Scout",Legendary
"Goblin,Pirate",Legendary
"Giant,Pirate",Legendary
"Human,Warrior",Legendary
Serpent,Legendary
"Dwarf,Advisor",Legendary
Plains,Basic
Plains,Basic
Island,Basic
Island,Basic
Mountain,Basic
Dragon,Legendary
"Human,Assassin",Legendary
Demon,Legendary
"Human,Cleric",Legendary
"Human,Warrior",Legendary
"Human,Knight",Legendary
Human,Legendary
"Elf,Druid",Legendary
"Merfolk,Wizard",Legendary
Sphinx,Legendary
Bird,Legendary
"Pirate,Spirit",Legendary
"Human,Artificer",Legendary
"Siren,Pirate",Legendary
"Human,Rogue",Legendary
"Djinn,Monk",Legendary
Golem,Legendary
"Nightmare,Cat",Legendary
"Elf,Warrior",Legendary
Ooze,Legendary
"Elf,Horror",Legendary
Dragon,Legendary
"Merfolk,Wizard",Legendary
"Turtle,Shaman",Legendary
"Elemental,Shaman",Legendary
"Zombie,Elf",Legendary
"Spirit,Soldier",Legendary
"Ogre,Wizard",Legendary
"Dwarf,Artificer",Legendary
"Human,Cleric",Legendary
"Human,Warrior",Legendary
"Viashino,Shaman",Legendary
"Human,Pirate",Legendary
"Human,Shaman",Legendary
Avatar,Legendary
Elemental,Snow
Bird,Snow
Serpent,Snow
Aura,Snow
Skeleton,Snow
Yeti,Snow
Dragon,Snow
Yeti,Snow
Slug,Snow
Aurochs,Snow
Specter,Snow
Construct,Snow
Juggernaut,Snow
Construct,Snow
Tezzeret,Legendary
"Elf,Shaman",Legendary
"Human,Cleric",Legendary
Ral,Legendary
"Human,Merfolk",Legendary
Demon,Legendary
"Human,Soldier",Legendary
"Zombie,Cleric",Legendary
Equipment,Legendary
Demon,Legendary
"Human,Knight",Legendary
Angel,Legendary
"Bird,Cleric",Legendary
Aura,Legendary
"Human,Wizard",Legendary
"Human,Wizard",Legendary
Djinn,Legendary
Goblin,Legendary
"Human,Shaman",Legendary
Dragon,Legendary
"Elf,Druid",Legendary
"Human,Wizard",Legendary
"Vampire,Knight",Legendary
"Human,Knight",Legendary
Dragon,Legendary
"Human,Warrior",Legendary
"Elf,Warrior",Legendary
Equipment,Legendary
Construct,Legendary
Vehicle,Legendary
"Minotaur,Cleric",Legendary
"Goblin,Artificer",Legendary
"Orc,Warrior",Legendary
"Elder,Dragon",Legendary
"Elder,Dragon",Legendary
"Elder,Dragon",Legendary
"Elder,Dragon",Legendary
"Elder,Dragon",Legendary
"Human,Knight",Legendary
"Elf,Noble",Legendary
"Faerie,Rogue",Legendary
Equipment,Legendary
"Giant,Noble",Legendary
"Human,Noble",Legendary
Rowan,Legendary
Tamiyo,Legendary
"Human,Werewolf",Legendary
Werewolf,Legendary
"Elemental,Shaman",Legendary
"Cat,Warrior",Legendary
"Human,Wizard",Legendary
"Human,Wizard",Legendary
"Human,Wizard",Legendary
Sliver,Legendary
"Human,Wizard",Legendary
Shapeshifter,Legendary
Vampire,Legendary
"Human,Wizard",Legendary
"Elf,Shaman",Legendary
Angel,Legendary
"Human,Soldier",Legendary
Sphinx,Legendary
Sphinx,Legendary
"Human,Soldier",Legendary
Demon,Legendary
"Human,Cleric",Legendary
"Merfolk,Wizard",Legendary
"Ooze,Mutant",Legendary
Cyclops,Legendary
"Elf,Shaman",Legendary
"Human,Soldier",Legendary
Cyclops,Legendary
Shapeshifter,Legendary
Island,"Basic,Snow"
"Human,Wizard",Legendary
"Shade,Knight",Legendary
"Vampire,Dwarf",Legendary
"Human,Rogue",Legendary
"Human,Rogue",Legendary
"Human,Rogue",Legendary
"Human,Rogue",Legendary
Avatar,Legendary
Avatar,Legendary
"Zombie,Minotaur,Warrior",Legendary
Nissa,Legendary
Bolas,Legendary
Mountain,Basic
Island,Basic
"Dinosaur,Turtle",Legendary
Swamp,Basic
Ape,Legendary
Swamp,Basic
"Nightmare,Beast,Elemental",Legendary
"Human,Rogue",Legendary
"Beast,Elemental,Dinosaur",Legendary
"Human,Druid",Legendary
Narset,Legendary
"Cat,Nightmare,Beast",Legendary
"Human,Wizard",Legendary
"Dinosaur,Cat,Nightmare",Legendary
"Cat,Beast",Legendary
"Dinosaur,Hippo",Legendary
"Cat,Nightmare",Legendary
"Elemental,Otter",Legendary
"Hellion,Horror",Legendary
"Beast,Elemental,Dinosaur",Legendary
"Cat,Nightmare,Beast",Legendary
"Dinosaur,Cat,Nightmare",Legendary
"Demon,Kraken",Legendary
Treefolk,Legendary
"Human,Soldier",Legendary
"Human,Cleric",Legendary
Vampire,Legendary
Ajani,Legendary
God,Legendary
God,Legendary
God,Legendary
God,Legendary
"Human,Barbarian,Warrior",Legendary
"Vedalken,Artificer",Legendary
"Aetherborn,Rogue",Legendary
Chandra,Legendary
"Human,Artificer",Legendary
"Human,Advisor",Legendary
"Elf,Druid",Legendary
Saheeli,Legendary
Chandra,Legendary
"Naga,Shaman",Legendary
Sorin,Legendary
Angel,Legendary
Illusion,Legendary
Jace,Legendary
Mountain,Basic
Chandra,Legendary
Garruk,Legendary
"Giant,Warrior",Legendary
Jace,Legendary
Forest,Basic
Liliana,Legendary
Chandra,Legendary
Gideon,Legendary
Chandra,Legendary
Garruk,Legendary
"Merfolk,Wizard",Legendary
Liliana,Legendary
Chandra,Legendary
Garruk,Legendary
"Elf,Shaman",Legendary
Bolas,Legendary
Liliana,Legendary
Garruk,Legendary
Jace,Legendary
"Human,Wizard",Legendary
"Human,Artificer",Legendary
"Merfolk,Wizard",Legendary
"Human,Barbarian",Legendary
"Human,Barbarian",Legendary
Karn,Legendary
Jace,Legendary
Equipment,Legendary
Ajani,Legendary
God,Legendary
"Human,Warrior",Legendary
"Elf,Shaman",Legendary
Eldrazi,Legendary
Kiora,Legendary
"Kor,Ally",Legendary
"Merfolk,Ally",Legendary
Elemental,Legendary
Gideon,Legendary
God,Legendary
God,Legendary
God,Legendary
"Fox,Samurai",Legendary
Spirit,Legendary
Spirit,Legendary
Spirit,Legendary
"Human,Samurai",Legendary
"Demon,Spirit",Legendary
"Human,Samurai",Legendary
Equipment,Legendary
"Human,Wizard",Legendary
"Bird,Wizard",Legendary
Beast,Legendary
"Human,Wizard",Legendary
Nixilis,Legendary
Angel,Snow
"Elf,Warrior",Legendary
Golem,Legendary
"Zombie,Soldier",Legendary
"Elf,Warrior",Legendary
"Giant,Soldier",Legendary
"Spirit,Advisor",Legendary
"Snake,Wizard",Legendary
"Insect,Shaman",Legendary
"Human,Shaman",Legendary
"Goblin,Wizard",Legendary
Angel,Legendary
"Elf,Druid",Legendary
"Merfolk,Wizard",Legendary
"Human,Cleric",Legendary
"Goblin,Berserker",Legendary
"Ogre,Wizard",Legendary
"Human,Warrior",Legendary
Daretti,Legendary
"Elf,Scout",Legendary
Sphinx,Legendary
"Human,Artificer",Legendary
"Human,Merfolk",Legendary
"Cat,Knight",Legendary
"Cat,Avatar",Legendary
"Vampire,Knight",Legendary
"Human,Wizard",Legendary
"Human,Wizard",Legendary
"Vampire,Soldier",Legendary
"Human,Wizard",Legendary
Vampire,Legendary
"Cat,Soldier",Legendary
"Vampire,Shaman",Legendary
"Cat,Warrior",Legendary
Dragon,Legendary
"Dragon,Avatar",Legendary
Dragon,Legendary
Dragon,Legendary
Aminatou,Legendary
Kraken,Legendary
Artificer,Legendary
Estrid,Legendary
Golem,Legendary
Snake,Snow
"Merfolk,Wizard",Legendary
Nixilis,Legendary
Goblin,Legendary
"Human,Soldier",Legendary
"Human,Wizard",Legendary
"Human,Cleric",Legendary
"Human,Shaman",Legendary
"Human,Warrior",Legendary
"Bird,Dinosaur",Legendary
"Human,Shaman",Legendary
"Whale,Wolf",Legendary
"Snake,Leviathan",Legendary
"Hyena,Beast",Legendary
"Nightmare,Hydra",Legendary
Jace,Legendary
Chandra,Legendary
"Elder,Dinosaur",Legendary
"Human,Samurai",Legendary
"Human,Warrior",Legendary
Sphinx,Legendary
"Fox,Cleric",Legendary
Spirit,Legendary
Shrine,Legendary
"Fox,Samurai",Legendary
"Human,Samurai",Legendary
"Dragon,Spirit",Legendary
"Human,Wizard",Legendary
Shrine,Legendary
Spirit,Legendary
Spirit,Legendary
"Human,Assassin",Legendary
"Dragon,Spirit",Legendary
"Demon,Spirit",Legendary
"Rat,Rogue",Legendary
"Goblin,Shaman",Legendary
"Human,Samurai",Legendary
"Demon,Spirit",Legendary
Spirit,Legendary
Spirit,Legendary
Spirit,Legendary
Equipment,Legendary
Equipment,Legendary
Angel,Legendary
Garruk,Legendary
Dryad,Legendary
"Gorgon,Wizard",Legendary
"Elf,Rogue",Legendary
"Fungus,Shaman",Legendary
Vampire,Legendary
Dragon,Legendary
Kraken,Legendary
"Minotaur,Monk",Legendary
Shapeshifter,Legendary
Angel,Legendary
"Human,Monk",Legendary
Kraken,Legendary
"Siren,Pirate",Legendary
Jeska,Legendary
"Elemental,Lizard",Legendary
"Goblin,Wizard",Legendary
"Human,Wizard",Legendary
Chimera,Legendary
"Human,Scout",Legendary
"Elephant,Warrior",Legendary
Unicorn,Legendary
"Human,Scout",Legendary
"Naga,Druid",Legendary
"Human,Warrior",Legendary
"Human,Shaman",Legendary
"Bird,Wizard",Legendary
"Rabbit,Wizard",Legendary
Angel,Legendary
"Zombie,Wizard",Legendary
"Faerie,Knight",Legendary
"Ogre,Wizard",Legendary
"Dwarf,Artificer",Legendary
"Human,Cleric",Legendary
"Human,Warrior",Legendary
"Viashino,Shaman",Legendary
"Human,Pirate",Legendary
"Human,Soldier",Legendary
Aura,Legendary
"Moonfolk,Wizard",Legendary
"Elder,Dinosaur",Legendary
Elemental,Legendary
"Angel,Artificer",Legendary
Equipment,Legendary
Szat,Legendary
Jeska,Legendary
"Human,Warrior",Legendary
"Kor,Soldier,Ally",Legendary
"Spirit,Noble",Legendary
"Human,Ally",Legendary
"Bird,Wizard",Legendary
"Naga,Wizard",Legendary
"Bird,Monk",Legendary
"Human,Cleric",Legendary
"Goblin,Berserker",Legendary
God,Legendary
"Human,Ninja",Legendary
"Minotaur,Monk",Legendary
"Human,Wizard",Legendary
Dragon,Legendary
Shapeshifter,Legendary
Angel,Legendary
"Human,Artificer",Legendary
"Elf,Scout",Legendary
"Elf,Warrior",Legendary
"Vampire,Noble",Legendary
"Zombie,Wizard",Legendary
"Human,Scout",Legendary
"Goblin,Pirate",Legendary
"Giant,Pirate",Legendary
"Elemental,Lizard",Legendary
Imp,Legendary
"Orc,Pirate",Legendary
Angel,Legendary
"Treefolk,Shaman",Legendary
"Human,Wizard",Legendary
Chimera,Legendary
"Human,Scout",Legendary
"Elephant,Warrior",Legendary
"Human,Scout",Legendary
Bolas,Legendary
"Hydra,Avatar",Legendary
Griffin,Snow
"Human,Soldier",Legendary
Aura,Snow
Aura,Snow
"Human,Wizard",Legendary
Bird,Snow
Zombie,Snow
"Zombie,Knight",Legendary
"Goblin,Warrior",Snow
"Wolverine,Beast",Snow
Human,Legendary
Spider,Snow
Snake,Snow
Faerie,Snow
"Vampire,Noble",Legendary
"Orc,Shaman",Legendary
"Human,Wizard",Legendary
Plains,"Basic,Snow"
Island,"Basic,Snow"
Swamp,"Basic,Snow"
Mountain,"Basic,Snow"
Forest,"Basic,Snow"
Elspeth,Legendary
Ajani,Legendary
Bolas,Legendary
"Human,Soldier",Legendary
"Ogre,Warrior",Legendary
"Ooze,Mutant",Legendary
"Human,Advisor",Legendary
Avatar,Legendary
Leviathan,Legendary
"Elder,Demon",Legendary
Avatar,Legendary
Specter,Legendary
"Human,Cleric",Legendary
Jaya,Legendary
"Elemental,Avatar",Legendary
"Elf,Archer",Legendary
"Human,Artificer",Legendary
"Human,Wizard",Legendary
"Elemental,Avatar",Legendary
"Human,Wizard",Legendary
Equipment,Legendary
Narset,Legendary
"Human,Noble",Legendary
"Merfolk,Wizard",Legendary
"Human,Knight",Legendary
"Human,Knight",Legendary
"Dwarf,Noble",Legendary
Beast,Legendary
Garruk,Legendary
"Goblin,Shaman",Legendary
Oko,Legendary
"Treefolk,Shaman",Legendary
"Human,Wizard",Legendary
Ugin,Legendary
"Human,Shaman",Legendary
"Human,Warrior",Legendary
Dragon,Legendary
Dragon,Legendary
"Human,Cleric",Legendary
"Zombie,Warrior",Legendary
Dragon,Legendary
"Human,Druid",Legendary
"Centaur,Shaman",Snow
"Vampire,Assassin",Legendary
Vampire,Legendary
"Dragon,Wizard",Legendary
"Zombie,Elf",Legendary
"Elf,Shaman",Legendary
Gorgon,Legendary
Angel,Legendary
Dryad,Legendary
Spirit,Legendary
Cyclops,Legendary
"Hellion,Hydra",Legendary
Spirit,Legendary
"Human,Advisor",Legendary
"Human,Wizard",Legendary
"Hellion,Hydra",Legendary
"Elf,Cleric",Legendary
Shapeshifter,Legendary
Dryad,Legendary
Ral,Legendary
Vraska,Legendary
Gideon,Legendary
Domri,Legendary
Mountain,"Basic,Snow"
Forest,"Basic,Snow"
Sphinx,Legendary
Demon,Legendary
God,Legendary
"Human,Soldier",Legendary
Human,Legendary
Skeleton,Legendary
"Demon,Kraken",Legendary
"Elemental,Elk",Legendary
Swamp,Basic
"Dinosaur,Turtle",Legendary
"Nightmare,Beast,Elemental",Legendary
Angel,Legendary
"Human,Wizard",Legendary
"Merfolk,Noble",Legendary
Dragon,Legendary
Dragon,Legendary
Dragon,Legendary
"Human,Artificer",Legendary
"Bird,Wizard",Legendary
Garruk,Legendary
Equipment,Legendary
"Human,Noble",Legendary
God,Legendary
"Bird,Soldier",Legendary
"Zombie,Dwarf",Legendary
Swamp,Basic
Nissa,Legendary
"Human,Artificer",Legendary
"Dwarf,Pilot",Legendary
Dovin,Legendary
Vehicle,Legendary
Nissa,Legendary
"Human,Soldier",Legendary
"Human,Warrior",Legendary
"Avatar,Minion",Legendary
Liliana,Legendary
"Elemental,Shaman",Legendary
Mountain,Basic
Liliana,Legendary
Chandra,Legendary
Ajani,Legendary
Jace,Legendary
Garruk,Legendary
Jace,Legendary
Sorin,Legendary
"Goblin,Warrior",Legendary
Ajani,Legendary
Chandra,Legendary
Ajani,Legendary
Angel,Legendary
"Ogre,Spirit",Legendary
Nissa,Legendary
"Human,Rogue",Legendary
Garruk,Legendary
Sliver,Legendary
Ajani,Legendary
Liliana,Legendary
Ajani,Legendary
Sorin,Legendary
Dragon,Legendary
Scout,Legendary
Vivien,Legendary
Ugin,Legendary
Basri,Legendary
"Human,Cleric",Legendary
Teferi,Legendary
Shrine,Legendary
"Vampire,Cleric",Legendary
Dragon,Legendary
"Human,Monk",Legendary
"Human,Druid",Legendary
Teferi,Legendary
Liliana,Legendary
Chandra,Legendary
Garruk,Legendary
Ugin,Legendary
Basri,Legendary
Liliana,Legendary
Chandra,Legendary
"Troll,Shaman",Legendary
Shapeshifter,Legendary
Aura,Snow
Bird,Snow
Insect,Snow
